run,variant,batch_size,seed,abm,metric,step,value
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,31,1131.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,32,1252.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,33,1409.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,34,1582.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,35,1770.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,36,2003.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,37,2228.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,38,2483.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,39,2661.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,2,63.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,3,81.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,4,85.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,5,82.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,6,81.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,7,82.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,8,83.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,9,85.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,10,85.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,11,87.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,12,90.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,13,92.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,14,94.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,15,95.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,16,98.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,17,99.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,18,101.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,19,104.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,20,105.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,21,107.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,22,110.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,23,113.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,24,115.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,25,119.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,26,123.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,27,128.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,28,132.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,29,140.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,30,144.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,31,150.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,32,158.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,33,169.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,34,176.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,35,186.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,36,199.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,37,210.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,38,215.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,39,219.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,2,64.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,3,80.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,4,84.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,5,81.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,6,81.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,7,81.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,8,83.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,9,84.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,10,87.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,11,88.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,12,89.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,13,92.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,14,94.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,15,95.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,16,98.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,17,99.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,18,101.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,19,104.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,20,106.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,21,109.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,22,111.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,23,114.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,24,117.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,25,120.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,26,124.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,27,128.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,28,133.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,29,139.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,30,146.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,31,152.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,32,160.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,33,171.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,34,178.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,35,192.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,36,200.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,37,212.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,38,217.0
sgboba 128 abm2,aboba,128,seed2,2,adaptive_batch/batch_size,39,222.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,2,63.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,3,80.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,4,83.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,5,81.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,6,80.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,7,81.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,8,82.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,9,85.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,10,85.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,11,87.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,12,90.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,13,92.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,14,93.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,15,95.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,16,98.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,17,99.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,18,101.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,19,103.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,20,104.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,21,107.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,22,110.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,23,113.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,24,115.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,25,119.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,26,122.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,27,127.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,28,131.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,29,137.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,30,143.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,31,152.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,32,158.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,33,168.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,34,178.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,35,188.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,36,200.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,37,211.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,38,214.0
sgboba 128 abm2,aboba,128,seed3,2,adaptive_batch/batch_size,39,217.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,2,126.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,3,133.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,4,135.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,5,134.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,6,134.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,7,135.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,8,136.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,9,139.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,10,142.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,11,144.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,12,149.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,13,151.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,14,155.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,15,158.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,16,162.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,17,165.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,18,170.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,19,173.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,20,177.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,21,183.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,22,187.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,23,192.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,24,199.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,25,209.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,26,213.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,27,222.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,28,236.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,29,246.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,30,263.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,31,277.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,32,296.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,33,318.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,34,342.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,35,370.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,36,389.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,37,421.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,38,448.0
sgboba 128 abm4,aboba,128,seed1,4,adaptive_batch/batch_size,39,453.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,2,129.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,3,133.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,4,135.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,5,134.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,6,136.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,7,136.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,8,137.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,9,139.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,10,141.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,11,144.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,12,148.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,13,152.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,14,155.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,15,159.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,16,162.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,17,165.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,18,170.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,19,176.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,20,179.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,21,182.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,22,188.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,23,194.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,24,202.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,25,209.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,26,216.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,27,227.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,28,237.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,29,249.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,30,265.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,31,282.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,32,302.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,33,319.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,34,344.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,35,370.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,36,396.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,37,429.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,38,436.0
sgboba 128 abm4,aboba,128,seed2,4,adaptive_batch/batch_size,39,458.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,2,126.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,3,132.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,4,132.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,5,133.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,6,133.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,7,133.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,8,135.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,9,138.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,10,141.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,11,145.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,12,148.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,13,151.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,14,155.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,15,158.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,16,161.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,17,164.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,18,168.0
sgboba 128 abm4,aboba,128,seed3,4,adaptive_batch/batch_size,19,172.0
