run,variant,batch_size,seed,abm,metric,step,value
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,37,243.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,38,142.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,38,329.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,39,190.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,39,464.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,2,10.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,3,10.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,4,12.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,5,11.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,6,12.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,7,12.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,8,12.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,9,13.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,10,12.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,11,13.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,12,13.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,13,14.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,14,14.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,15,14.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,16,15.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,17,15.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,18,16.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,19,16.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,20,18.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,21,18.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,22,19.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,23,20.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,24,21.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,25,22.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,26,24.0
adaboba 64 abm1,aboba,64,seed2,1,adaptive_batch/batch_size,27,26.0
